,Campaign Title,Community Name,Ethereum Address,Staked Tokens,Share of Staked Tokens,PAN Donated,Donation Count,Fair Share Score from PAN Donations,Total Quarterly Fundraising,Recurring Event Attendance,Fair Share Score from Proof of Community,Coalition,Coalition Bonus,Leadership,Leadership Bonus,Fair Share Score,Fair Share,Utilized Fair Share Score,Utilized Fair Share,Subsidy Points,Matching Progress,,Share of Subsidy,Target Staking Share,Maximum Staking Total,Remaining PAN to Stake,"Estimated Subsidy
(PAN)","Estimated Funding
(PAN)","Estimated Funding
(USD)",Estimated Multiplier,Estimated Yield (APY)
,DAOSquare,DAOSquare,0x9ac9c636404C8d46D9eb966d7179983Ba5a3941A,"121,496.39",1.90%,28.19,2,4.72,,,11.18,,0.00,,0.00,15.90,0.0760%,15.90,0.3761%,15.90,100.00%,,0.87%,0.3761%,"23,626.36",0.00,"10,070.64","10,098.83","$1,046.76",358.24x,31.85%
,Matic Mitra,Matic Mitra,0xd9D66f6eB790c82A1e98CDa99C153983461A3725,"24,077.61",0.38%,28.19,2,4.72,,,11.18,,0.00,,0.00,15.90,0.0760%,15.90,0.3761%,15.90,100.00%,,0.87%,0.3761%,"23,994.15",0.00,"10,070.64","10,098.83","$1,046.76",358.24x,139.77%
,Web3Designers.org,Web3 Designers,0xE98dc4fdCb03cC29C0f64A00AAAd7F56d359CBAD,"23,446.64",0.37%,578.19,6,33.31,$533,15,89.41,,0.00,,0.00,122.72,0.5861%,76.78,1.8161%,15.54,12.66%,,0.85%,2.8713%,"187,896.95","164,450.31","9,840.71","10,418.90","$1,079.94",18.02x,140.18%
,Giveth,Giveth,0x90dfc35e747ffcf9631ce75348f99632528e1704,"381,667.80",5.98%,0.00,0,0.00,,,11.18,Regenerative Commons,1.68,"Regenerative Commons Coalition Leader, Membership Committee",1.68,14.53,0.0694%,14.53,0.3438%,14.53,100.00%,,0.79%,0.3438%,"20,689.14",0.00,"9,204.18","9,204.18",$954.03,,9.53%
,RaidGuild,RaidGuild,0xD25185f8c3B9e38C3f014378CE58B362Db568352,"26,525.88",0.42%,0.00,0,0.00,,,11.18,Future of Work,1.68,,0.00,12.86,0.0614%,12.86,0.3041%,12.86,100.00%,,0.70%,0.3041%,"19,377.91",0.00,"8,142.16","8,142.16",$843.95,,107.08%
,MetaCartel NFT Awards,MetaCartel,0xD91ec22114897E5E68997F77a6182dE3Cb09ba9B,"19,139.14",0.30%,178.19,4,15.71,,,11.18,,0.00,,0.00,26.89,0.1284%,26.89,0.6361%,12.68,47.16%,,0.69%,0.6361%,"40,716.91","21,577.77","8,032.83","8,211.02",$851.09,46.08x,140.18%
,Njombe Innovation Academy,Njombe Innovation Academy,0x308Fd8FB79379dEAD5A360FFb6Dd2D1AFf9F5EE4,"18,293.29",0.29%,603.19,9,44.06,,,11.18,Regenerative Commons,8.29,,0.00,63.53,0.3034%,60.03,1.4198%,12.12,19.09%,,0.66%,1.5012%,"96,950.64","78,657.35","7,677.82","8,281.01",$858.34,13.73x,140.18%
,Kolektivo Labs,Kolektivo Labs,0xe64e9187d513b455732fd63FD1398ecd1925A03E,"17,266.55",0.27%,403.19,7,31.81,,,11.18,,0.00,,0.00,42.99,0.2053%,42.99,1.0168%,11.44,26.62%,,0.63%,1.0168%,"65,357.10","48,090.54","7,246.89","7,650.08",$792.95,18.97x,140.18%
,nfDAO ,nfDAO,0x09203487A637b28D8D5CfDFE0BCE8F7A815a8c48,"16,988.45",0.27%,508.19,3,18.83,$0,10,22.36,,0.00,,0.00,41.19,0.1967%,41.19,0.9742%,11.26,27.34%,,0.62%,0.9742%,"62,593.33","45,604.88","7,130.17","7,638.36",$791.73,15.03x,140.18%
,DAppNode,DAppNode,0x00CF36853AA4024fb5BF5cc377dfd85844B411a0,"938,810.86",14.72%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,11.18,0.2644%,11.18,100.00%,,0.61%,0.2644%,"14,424.91",0.00,"7,080.14","7,080.14",$733.87,,3.01%
,Austin Meetups Fund,Austin Meetups Fund,0x07294360e0bb89eBbE3542c478A8d1F6840ee2eE,"115,873.08",1.82%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,11.18,0.2644%,11.18,100.00%,,0.61%,0.2644%,"16,606.77",0.00,"7,080.14","7,080.14",$733.87,,23.72%
,LexDAO,LexDAO,0x24801de57F065d95D741DFf0f419dc5004777C87,"15,123.25",0.24%,128.19,3,11.16,,,11.18,,0.00,,0.00,22.34,0.1067%,22.34,0.5284%,10.02,44.86%,,0.55%,0.5284%,"33,808.58","18,685.33","6,347.33","6,475.52",$671.20,50.52x,140.18%
,future modern,future modern,0x5ab45FB874701d910140e58EA62518566709c408,"14,572.95",0.23%,28.19,2,4.72,"$5,000",15,273.86,Digital Identity,41.79,,0.00,320.37,1.5301%,47.21,1.1165%,9.66,3.01%,,0.53%,7.1174%,"487,727.37","473,154.42","6,116.37","6,144.56",$636.90,217.97x,140.18%
,MyCrypto,MyCrypto,0x7030B43E821BA34124915bA65B90Dbda7a9E7d09,"13,612.56",0.21%,453.19,5,25.53,,,11.18,,0.00,,0.00,36.71,0.1753%,36.71,0.8683%,9.02,24.57%,,0.49%,0.8683%,"55,761.05","42,148.49","5,713.28","6,166.47",$639.17,13.61x,140.18%
,MetaGame,MetaGame,0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,"13,448.60",0.21%,0.00,0,0.00,,,11.18,Future of Work,1.68,,0.00,12.86,0.0614%,12.86,0.3041%,8.91,69.32%,,0.49%,0.3041%,"19,417.79","5,969.20","5,644.47","5,644.47",$585.06,,140.18%
